channel1,channel2,channel3
100097,269656,344940
99889,269785,345044
99738,269804,345002
99635,269934,345128
99537,269867,344968
99457,269864,345079
99473,269763,344909
99498,269763,344887
99528,269853,344823
99602,269858,344873
99658,269830,344912
99749,269970,344982
99789,269905,344743
99834,270039,344917
99849,269990,344910
99892,270017,344948
99934,270019,344959
99962,269973,344944
100012,269983,345033
100086,270064,345005
100159,270129,344926
100255,270031,344861
100327,270025,345038
100397,270005,344985
100468,270021,345000
100456,269946,344935
100408,269812,344910
100229,269751,344892
100029,269796,344919
99853,269953,344852
99684,269848,344834
99592,269848,344983
99543,269913,344759
99495,269768,344753
99534,269725,344741
99535,269827,344775
99588,269927,344969
99673,269966,344837
99730,270004,344984
99772,269980,344741
99849,270027,344872
99844,269946,344968
99881,270015,344981
99920,269952,344879
99961,269934,344905
99983,269998,344835
100072,270022,344860
100134,270019,344958
100221,270077,344966
100293,270142,344904
100379,270210,345056
100446,270097,345150
100531,270061,345057
100481,269979,344942
100336,269844,344925
100142,269926,344857
99914,269994,344967
99772,270063,345020
99653,270023,344957
99588,269904,344919
99548,269935,344806
99529,269945,344791
99580,269859,344744
99593,269879,344806
99633,269793,344676
99685,269855,344675
99717,269925,344709
99746,269813,344666
99772,269821,344682
99771,269806,344758
99745,269768,344686
99777,269783,344724
99797,269760,344605
99847,269728,344583
99901,269711,344615
99945,269645,344543
100038,269778,344775
100081,269813,344634
100183,270020,344687
100267,269806,344726
100308,269841,344709
100249,269786,344619
100070,269757,344621
99884,269829,344680
99699,269930,344667
